scientific_name,common_name,longitude,latitude,state,water_type,season,sea_surface_temp_C,chlorophyll_mg_m3,depth_m,min_legal_size_cm,juvenile_range_cm,gear_type,zone_label,economic_value_in_INR_per_kg,seasonal_disease,river_name,advisory_text
Pampus argenteus,Silver Pomfret,92.0822,14.2801,Karnataka,Marine,Monsoon,29.86,1.18,197.1,18.0,9.0-16.2,Purse Seine,Green,446.6,,Krishna,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,88.4265,14.1036,West Bengal,Brackish,Summer,27.7,1.57,198.7,20.0,10.0-18.0,Hook and Line,Red,793.09,Tail Rot,Teesta,High juvenile dominance of Hilsa observed in Teesta. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Pampus argenteus,Silver Pomfret,88.9051,13.9823,Maharashtra,Brackish,Winter,31.22,1.4,113.1,36.1,18.1-32.5,Hook and Line,Yellow,296.29,,Tapi,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,73.3527,16.8606,Gujarat,Marine,Monsoon,24.27,1.07,51.7,25.0,12.5-22.5,Trawl,Green,742.41,,Tapi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,87.6893,20.6717,West Bengal,Brackish,Winter,25.77,2.62,6.7,21.5,10.8-19.4,Gillnet,Green,744.75,,Subarnarekha,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,75.4178,18.9222,Karnataka,Marine,Summer,24.29,2.91,29.9,22.8,11.4-20.5,Trawl,Green,563.68,,Tungabhadra,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,91.3116,14.8685,Kerala,Marine,Winter,23.1,0.54,114.9,32.5,16.2-29.2,Trawl,Green,709.08,,Chaliyar,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,91.1325,20.8517,Andhra Pradesh,Marine,Winter,26.72,1.33,82.8,43.3,21.6-39.0,Gillnet,Green,112.78,,Penna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,68.7929,10.9305,Karnataka,Marine,Summer,22.88,0.6,104.4,42.4,21.2-38.2,Trawl,Green,750.48,,Tungabhadra,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,89.7535,10.9206,Odisha,Marine,Monsoon,29.12,0.59,199.4,29.3,14.7-26.4,Trawl,Green,146.26,,Brahmani,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,77.7545,9.9351,Karnataka,Marine,Winter,30.0,1.62,179.3,21.7,10.8-19.5,Gillnet,Green,789.82,,Tungabhadra,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,90.2138,16.6662,Gujarat,Marine,Summer,24.19,2.3,93.3,42.4,21.2-38.2,Gillnet,Green,774.55,,Mahi,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,83.9423,18.9085,West Bengal,Brackish,Winter,22.49,0.59,52.6,18.5,9.2-16.7,Purse Seine,Green,356.88,,Subarnarekha,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,79.1523,18.0469,Kerala,Brackish,Monsoon,28.76,1.84,59.7,35.6,17.8-32.0,Purse Seine,Green,558.38,,Bharathapuzha,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
